NomeCientifico;NomeComum;Familia;FatorForma;Regiao;Area de Ocorrencia;Descricao-Area de Ocorrencia
Miconia cinnamomifolia (DC.) Naudin;Jacatirão-Açú;MELASTOMATACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Miconia holosericea (L.) DC.;Pixiricão;MELASTOMATACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Miconia mirabilis (Aubl.) L. O. Williams.;Pixirica-Roxa;MELASTOMATACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Tibouchina granulosa (Desr.) Cogn;Quaresmeira;MELASTOMATACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Tibouchina mutabilis (Vell.) Cogn.;Manacá-Da-Serra;MELASTOMATACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cabralea canjerana (Vell.) Mart.;Canjerana;MELIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Cedrela fissilis Vell.;Cedro-Rosa;MELIACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cedrela odorata L.;Cedro-Branco;MELIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Guarea guidonia (L.) Sleumer;Carrapeta;MELIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Guarea macrophylla Vahl.;Carrapeta-Amarela;MELIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Trichilia casaretti C. DC.;Catinguá-Da-Restinga;MELIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Ficus enormis Mart. ex Miq.;Figueira-Da-Pedra;MORACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Sorocea guilleminiana Gaudich.;Folha-De-Serra;MORACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Calyptranthes brasiliensis Spreng.;Caliptrantes;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Calyptranthes lucida Mart. ex DC.;Caliptrantes-Do-Mato;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Campomanesia eugenioides (Cambess.) D.Legrand ex Landrum;Guavira-Laranja;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Campomanesia schlechtendaliana (O.Berg) Nied.;Guabiroba;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia astringens Cambess.;Aperta-Guela;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia brasiliensis Lam.;Grumixama;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia candolleana DC.;Ameixa-Da-Mata;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia copacabanensis Kiaeskr.;Princesinha-De-Copacabana;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia florida DC.;Guamirim;MYRTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Eugenia leonorae Mattos;Guamirim-Leonora;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia magnifica Spring ex Mart.;Jamelão-Do-Mato;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia pisiformis Cambess.;Cambuí-Tanguá;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia punicifolia (Kunth) DC.;Cereja-Da-Praia;MYRTACEAE;0,5;Mata Atlantica;FE;Floresta Estacional
Eugenia pyriformis Cambess.;Uvaia;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia selloi B.D.Jacks.;Pitangão;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia speciosa Cambess.;Laranjinha-Do-Mato;MYRTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Eugenia sulcata Spring ex Mart.;Pitanga-Preta;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Eugenia uniflora L.;Pitangueira;MYRTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Myrcia aethusa (O.Berg.)N. Silveira;Guamirim-Da-Beira;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrcia anceps (Spreng.) O.Berg;Azeitona-Da-Beira;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrcia insularis Gardner;Canela-Do-Brejo;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrcia multiflora (Lam.) DC;Guamirim-Da-Praia;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrcia splendens (Sw.) DC.;Guamirim-Chorão;MYRTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Myrciaria glazioviana (Kiaersk.) D.M. Barroso ex Sobral;Cabeludinha;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Neomitranthes obscura (DC.) N. Silveira;Cambuí-Da-Restinga;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Plinia cauliflora (Mart.) Kausel;Jaboticabeira;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Plinia complanata M.L.Kawas. & B.Holst;Cambucá-Vermelho;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Plinia edulis (Vell.) Sobral;Cambucá;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Plinia peruviana (Poir.) Govaerts;Jaboticaba-Mirim;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Psidium cattleianum Sabine;Araçá-Da-Praia;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Psidium guineense Sw;Araçá-Do-Campo;MYRTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Guapira opposita (Vell.) Reitz;Maria-Mole;NYCTAGINACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Guapira pernambucensis (Casar.) Lundell;João-Mole;NYCTAGINACEAE;0,5;Mata Atlantica;RE;Restinga (Vegetação com influência marinha)
Ouratea cuspidata (A.St.-Hil.) Engl.;Oratéia;OCHNACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Ouratea stipulata (Vell.) Engl.;Ouratéia-Estipulada;OCHNACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Heisteria silvianii Schwacke;Flor-De-Cera;OLACACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Pera glabrata (Schott) Poepp. ex. Baill;Bucho-De-Sapo;PERACEAE;0,5;Mata Atlantica;FE;Floresta Estacional
Pera heteranthera (Schrank) I.M. Johnst;Tabocuva;PERACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Hyeronima alchorneoides Allemão;Urucurana;PHYLLANTHACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Margaritaria nobilis L. f.;Figueirinha;PHYLLANTHACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Gallesia integrifolia (Spreng.) Harms;Pau-D'Alho;PHYTOLACCACEAE;0,5;Mata Atlantica;RE*;Restinga (Vegetação com influência marinha)
Seguieria langsdorffii Moq.;Limoeiro-Do-Mato;PHYTOLACCACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Coccoloba alnifolia Casar.;Bolo;POLYGONACEAE;0,5;Mata Atlantica;FE*;Floresta Estacional
Coccoloba arborescens R. A. Howard;Cocoloba;POLYGONACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Myrsine coriacea R.Br. ex Roem. & Schult.;Capororoca-Ferrugem;PRIMULACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Myrsine gardneriana A.DC.;Capororoca-Branca;PRIMULACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrsine guianensis (Aubl.) Kuntze;Capororoca;PRIMULACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Myrsine umbellata Mart.;Capororocão;PRIMULACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Colubrina glandulosa Perkins;Sobrasil;RHAMNACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Scutia arenicola (Casar.) Reissek;Quixabinha;RHAMNACEAE;0,5;Mata Atlantica;RE;Restinga (Vegetação com influência marinha)
Coutarea hexandra (Jacq.) K.Schum.;Quina;RUBIACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Faramea multiflora A. Rich. ex DC.;Faramea-Azul;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Genipa americana L.;Jenipapo;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Posoqueria acutifolia Mart.;Baga-De-Macaco;RUBIACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Posoqueria latifolia (Rudge) Schult.;Apuruí;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Psychotria carthagenensis Jacq.;Juruvarana;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Psychotria vellosiana Benth.;Árvore-De-Natal;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Randia armata (Sw.) DC.;Limão-Do-Mato;RUBIACEAE;0,5;Mata Atlantica;FE*;Floresta Estacional
Simira sampaioana (Standl.) Steyerm.;Negramina;RUBIACEAE;0,5;Mata Atlantica;FE;Floresta Estacional
Tocoyena bullata (Vell.) Mart.;Tocoiena;RUBIACEAE;0,5;Mata Atlantica;FE;Floresta Estacional
Tocoyena sellowiana (Cham. & Schltdl.) K.Schum.;Jenipapo-Bravo;RUBIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Dictyoloma vandellianum A. Juss.;Tingui;RUTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Zanthoxylum rhoifolium Lam.;Mamica-De-Porca;RUTACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Meliosma itatiaiae Urb.;Pau-Macuco;SABIACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Casearia sylvestris Sw.;Pau-Lagarto;SALICACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.;Baga-De-Morcego;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Allophylus petiolulatus Radlk.;Chau-Chau;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Cupania emarginata Cambess.;Camboatá-Da-Restinga;SAPINDACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cupania fluminensis Acev.-Rodr.;Camboatá-Peludo;SAPINDACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cupania oblongifolia Mart.;Camboata;SAPINDACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cupania racemosa (Vell.) Radlk;Camboatá-Miúdo;SAPINDACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cupania vernalis Cambess.;Cambotá-Vermelho;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Matayba guianensis Aubl.;Camboatá-Branco;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Sapindus saponaria L.;Sabão-De-Soldado;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Talisia esculenta (Cambess.) Radlk.;Pitomba;SAPINDACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Tripterodendron filicifolium Radlk.;Pau-Samambaia;SAPINDACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.;Bacubixá;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Ecclinusa ramiflora Mart.;Acá-Peludo;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Manilkara subsericea (Mart.) Dubard;Maçarandubinha;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Pouteria caimito (Ruiz & Pav.) Radlk;Abiuzeiro;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Pouteria grandiflora (A. DC.) Baehni;Abiu-Do-Mato;SAPOTACEAE;0,5;Mata Atlantica;RE;Restinga (Vegetação com influência marinha)
Pouteria psammophila (Mart.) Radlk.;Abiu-Da-Restinga;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Pouteria torta (Mart.) Radlk.;Acá;SAPOTACEAE;0,5;Mata Atlantica;FE;Floresta Estacional
Pradosia lactescens (Vell.) Radlk.;Marmixa;SAPOTACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Sideroxylon obtusifolium (Roem. & Schult.) T. D. Penn.;Quixabeira;SAPOTACEAE;0,5;Mata Atlantica;RE;Restinga (Vegetação com influência marinha)
Simarouba amara Aubl.;Caixeta;SIMAROUBACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Acnistus arborescens (L.) Schltdl.;Marianeira;SOLANACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Solanum pseudoquina A. St.-Hil.;Grão-De-Galo;SOLANACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Symplocos estrellensis Casar.;Congonha;SYMPLOCACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cecropia hololeuca Miq.;Embaúba-Prateada;URTICACEAE;0,5;Mata Atlantica;FO;Floresta Ombrófila
Cecropia pachystachya Trécul;Embaúba-Branca;URTICACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Pourouma guianensis Aubl.;Embaúba-Da-Mata;URTICACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Citharexyllum myrianthum Cham.;Tarumã;VERBENACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Vochysia tucanorum Mart.;Canela-Santa;VOCHYSIACEAE;0,5;Mata Atlantica;FO*;Floresta Ombrófila
Araucaria angustifolia (Bertol.) Kuntze;Araucária;ARAUCARIACEAE;0,5;Mata Atlantica;;
Araucaria angustifolia (Bertol.) Kuntze;Pinheiro-Do-Paraná;ARAUCARIACEAE;0,5;Mata Atlantica;;
Hovenia dulcis Thunb.;Uva-Do-Japão;RHAMNACEAE;0,5;Urbana/Exotica;;
Mangifera indica L.;Mangueira;ANACARDIACEAE;0,5;Urbana/Exotica;;
Persea americana Mill.;Abacateiro;LAURACEAE;0,5;Urbana/Exotica;;
Morus nigra L.;Amoreira-Preta;MORACEAE;0,5;Urbana/Exotica;;
Delonix regia (Bojer ex Hook.) Raf.;Flamboyant;FABACEAE;0,5;Urbana/Exotica;;
Jacaranda mimosifolia D.Don;Jacarandá-Mimoso;BIGNONIACEAE;0,5;Urbana/Exotica;;
Licania tomentosa (Benth.) Fritsch;Oiti;CHRYSOBALANACEAE;0,5;Mata Atlantica;;
Terminalia catappa L.;Amendoeira;COMBRETACEAE;0,5;Urbana/Exotica;;
Azadirachta indica A.Juss.;Nim;MELIACEAE;0,5;Urbana/Exotica;;
Psidium guajava L.;Goiabeira;MYRTACEAE;0,5;Urbana/Exotica;;
Malpighia emarginata DC.;Aceroleira;MALPIGHIACEAE;0,5;Urbana/Exotica;;
Citrus limon (L.) Osbeck;Limoeiro;RUTACEAE;0,5;Urbana/Exotica;;
Citrus sinensis (L.) Osbeck;Laranjeira;RUTACEAE;0,5;Urbana/Exotica;;
Cocos nucifera L.;Coqueiro-Da-Baía;ARECACEAE;0,5;Urbana/Exotica;;
Casuarina equisetifolia L.;Casuarina;CASUARINACEAE;0,5;Urbana/Exotica;;
Lagerstroemia indica L.;Resedá;LYTHRACEAE;0,5;Urbana/Exotica;;
Cassia fistula L.;Chuva-De-Ouro;FABACEAE;0,5;Urbana/Exotica;;
Ligustrum lucidum W.T.Aiton;Alfeneiro;OLEACEAE;0,5;Urbana/Exotica;;
Melia azedarach L.;Cinamomo;MELIACEAE;0,5;Urbana/Exotica;;
Grevillea robusta A.Cunn. ex R.Br.;Grevílea;PROTEACEAE;0,5;Urbana/Exotica;;
Tamarindus indica L.;Tamarindeiro;FABACEAE;0,5;Urbana/Exotica;;
Eriobotrya japonica (Thunb.) Lindl.;Nespereira;ROSACEAE;0,5;Urbana/Exotica;;
Bauhinia variegata L.;Pata-De-Vaca-Exótica;FABACEAE;0,5;Urbana/Exotica;;
